name,email
"BASELIOUS EM HSS, KANGHAZHA, DEVAGIRI P.O., KOTTAYAM, 686555 Phone No: 04812494453 Email ID: baseliosdevagiri42@yahoo.co.in","baseliosdevagiri42@yahoo.co.in"
"Alphonsa English Medium Rathnagiri","alphonsaemlpsr2015@gmail.com"
"Gracy Memorial LPS Parathode","gracymemoriallps@gmail.com"
"DON BOSCO HSS PUTHUPALLY, PUTHUPALLY P.O., KOTTAYAM, 686011 Phone No: 04812351210 Email ID: dbputhuppally@gmail.com","dbputhuppally@gmail.com"
"Maria Bhavan E.M. UPS","mariabhavankumarakom25@gmail.com"
"NSS EM HS PERUNNA","nssemhsperunnai@yahoo.in"
"KSM BHS Karackad","ksmbhskarakad@yahoo.com"
"HOLY CROSS HSS THELLAKOM, THELLAKOM P.O., KOTTAYAM, 686016 Phone No: 0481-2790003 Email ID: holycrossthellakom@yahoo.co.in","holycrossthellakom@yahoo.co.in"
"GIRIDEEPAM BETHANY HSS VADAVATHOOR, VADAVATHOOR P.O., KOTTAYAM, 686010 Phone No: 7356550952 Email ID: hmgirideepam@gmail.com","hmgirideepam@gmail.com"
"MGEMHS NJALIAKUZHY","mgemschool@yahoo.com"
"Madona E.M.U.P.S Kanjikuzhi","upsmadonna@gmail.com"
"S.V.V B EM HSS, NATTASSERY, KOTTAYAM, 686538 Phone No: 04812564004 Email ID: sreevidyadiraja@gmail.com","sreevidyadiraja@gmail.com"
"Hayathudheen High School Erattupetta","32212hayathudheenlps@gmail.com"
"SACRED HEART HIGH SCHOOL CHANGANASSERRY","shhs_chry@yahoo.co.in"
"INFANT JESUS B.C.G HSS, MANARKADU, KOTTAYAM, 686019 Phone No: 0481-2370474 Email ID: infantjesusbethanyschool@gmail.com","infantjesusbethanyschool@gmail.com"
"Sree Bhadra Public School South Pampady","sreebhadrapublicschool@gmail.com"
"Baker Memorial L.P.S. Kottayam","hmbakerlp@gmail.com"
"SREE VIDHYADIRAJA HSS ETTUMANOOR, ETTUMANOOR P.O., KOTTAYAM, 686631 Phone No: 04812535718 Email ID: svemhssettumanoor@yahoo.co.in","svemhssettumanoor@yahoo.co.in"
"YWCA EM L.P.School Mundakkayam","ywcaengmedschool@gmail.com"
"Olassa St. Antony`s LPS","stantonyslps@gmail.com"
"Athurasramam E.M.U.P.S.","athurashramam909@gmail.com"
"St. Theresa's E.M.U.P. School Pakkil","srlouisaa@gmail.com"
"St.Stephen's EM LPS Manimala","ststephens@gmail.com"
"St. Anne`s English Medium L. P. Kurianade","stannesemlps@gmail.com"
"Mount Carmal A.V. L.P.S. Kanjikuzhy","mountcarmelavlps@gmail.com"
"MGM NSS English Medium School Lakkattoor","mgmemlps99@gmail.com"
"St. Ann's E.M.L.P.S Kottayam","SVMSRMERCITTA@GMAIL.COM"
"VINCENT DE- PAUL HSS, PALA, KOTTAYAM, 686575 Phone No: 04822212975 Email ID: sanvinpala@yahoo.com","sanvinpala@yahoo.com"
"Mangalam E.M R H S S Ettumanoor","school.mangalam43@gmail.com"
"St Joseph E M LPS Kurumbanadam","stjosephemlpskurumpanadam@gmail.com"
"Sree Neelakantha Vidyapeedam Chirakadavu","sreeneelakanthavidyapeedam@gmail.com"
"St. Thomas CSI EMS Nedumgadappally","stthomascsiems@yahoo.com"
"St. Mary's LPS Pullickal Kavala","stmaryslpspk@gmail.com"
"SVV EMHS Ponkunnam","svvpnkm@gmail.com"
"Alphonsa E.M.L.P.S Ramapuram","alphonsaramapuram@gmail.com"
"C.Kesavan Memorial L.P.School","ckmemlpskoruthodu@gmail.com"
"RSM LPS Kodunga","rsmlpschool@gmail.com"
"Holy Family L.P.S East Nattassery","sisterpushpaktm@gmail.com"
"St Joseph English Medium Villoonni","stjosephvillooni@yahoo.co.in"
"Matha English Medium LP School Pachira","mathaschoolp@gmail.com"
"Karmal Jyothy E.M. LPS Thengana","Carmel@gmail.com"
"HOLY FAMILY HIGH SCHOOL,ELANGOI","hofiselangoi@gmail.com"
"St Stephens E M School Manimala","manimalastephens@gmail.com"
"NSS EMS Vazhoor","vzrnssengmeds1@gmail.com"
"Fr. T.C. Jacob E.M. UPS Cheeramchira","bibijohn2010@gmail.com"
"A K M EM UPS MORKULANGARA","akmschoolchrry@gmail.com"
"Bethany Christian EMS Kangazha","bethanycemschool@gmail.com"
"S. V. V. E. M. H. S. Idukki","sreevidyadhiraja@gmail.com"
"OSSANAM EM HSS, KATTAPPANA, 685515 Phone No: 7012653701 Email ID: ossanamhss@gmail.com","ossanamhss@gmail.com"
"SHEM HSS, MOOLAMATTOM, 685589 Phone No: 04862252001 Email ID: 29013shemhs@gmail.com","29013shemhs@gmail.com"
"SNLP School Thoppippala","snemsthoppippala@gmail.com"
"Marian Public School, Marykulam","mpsmarykulam@gmail.com"
"S. M. L. P. S. Marayoor","stmarys@gmail.com"
"St Pius U. P. S. Pius Nagar","stpius366@gmail.com"
"ST. THOMAS EM HSS, ATTAPPALLAM, KUMILY, 685509 Phone No: 04869-223291 Email ID: stemhssattappallam@gmail.com","stemhssattappallam@gmail.com"
"St.Mary's English Medium L P School Kanjikuzhy","stmaryslps77@gmail.com"
"SSHS Nedumkandam","sshssndkm1978@yahoo.com"
"St.Mary's LP School, Nankuthotty","stmaryslpsnankuthotty@gmail.com"
"Jai Rani E.M.H.S.S Thodupuzha","29062jremhs@gmail.com"
"S H English Medium L P School Nedumkandam","shenglishmediumschoolndkm@gmail.com"
"SJ EM HS Vandiperiyar","st.josephvpr@gmail.com"
"MARIAGIRI HSS PEERUMEDU, 685531 Phone No: 04869232069 Email ID: mariagiriemhss@yahoo.com","mariagiriemhss@yahoo.com"
"NIRMALA PUBLIC SCHOOL KARIAMANNOOR","nirmalakarimannoor@gmail.com"
"S. V. V. E. M. H. S. Adimali","29063svemhs@gmail.com"
"Mar Mathews English Medium, Nedumkandam","marmathewsmkt@gmail.com"
"Sree Narayana English Medium School Vandiperiyar","sreenschoolvpr@gmail.com"
"Ossanam EMLPS Kattappana","ossanamlpsktpna@gmail.com"
"SMUPS Puttady","smupsputtady1@gmail.com"
"S. M. L. P. S. Michalgiri","csn.stmichaels@gmail.com"
"LFLPS Puliyanmala","lflps933@gmail.com"
"Santhinikethan Vidhyabhavan Manakkad","santhi.vidybhavan64@gmail.com"
"MAR BASIL LPS SENAPATHI","mrbsl@rediffmail.com"
"SDAEHS Nedumkandam","sdaemhsndkm@gmail.com"
"DE PAUL EM HSS, THODUPUZHA EAST Phone No: 04862222252 Email ID: depaulthodupuzha@gmail.com","depaulthodupuzha@gmail.com"
"Sree Narayana English Medium School Anavilasam","snemsana138@gmail.com"
"St.Antony's E. M.L P School Mundakayam","saemsmundakayam@gmail.com"
"Christuraj L P School, Manjappara","christhurajlpschool@gmail.com"
"St. Sebastian's L P School Nedumkandam","stsebastianslpsndkm@gmail.com"
"San Seban L P School Mattuthavalam","sansebans@gmail.com"
"Lions English Medium School Munnar","lems_munnar@yahoo.co.in"
"Saraswathy Sisumandiram UP School,Edavetty","saraswathyups@gmail.com"
"Nalanda English Medium, Anakkara","nalandaemschoolanakkara@gmail.com"
"S. V. B. L. P. School Thodupuzha","saraswathytdpa@gmail.com"
"Winners Public School Karimannoor","winnerskmr@rediffmail.com"
"GUJARATHY VIDYALAYA HSS, MATTANCHERRY, 682002 Phone No: 0484-2223230 Email ID: scgvhss@gmail.com","scgvhss@gmail.com"
"VIDHYADHIRAJA VIDHYABHAVAN HSS, ALUVA, ERNAKULAM Phone No: 04842627168 Email ID: vvbhss_07171aluva@yahoo.com","vvbhss_07171aluva@yahoo.com"
"K. N. M. M. E. S. H. S. Edathala","knmmeshs@yahoo.in"
"GUARDIAN ANGEL EM HSS, MANNOOR, KEEZHILLAM, 683541 Phone No: 04842653611 Email ID: 28050gaemhss@gmail.com","28050gaemhss@gmail.com"
"St. Joseph`s E. M. H. S. Thrikkakara","josephites14@gmail.com"
"St. Ann`s. E.M.L.P.S. Ponnarimangalam","stanneslps@gmail.com"
"Sobhana E M H S Kothamangalam","sobhana_27024@yahoo.in"
"NIRMALA EM HSS, MUVATTUPUZHA,, 686661 Phone No: 0485-2832489 Email ID: nirmala28001@gmail.com","nirmala28001@gmail.com"
"ST. ANNE'S HSS, ELOOR Phone No: 9656275060 Email ID: stannseloor@yahoo.co.in","stannseloor@yahoo.co.in"
"Jama Ath U. P. S. Pattimattam","jama.ath.ups@gmail.com"
"St. Joseph's H S S , Koonammavu","st_joseph_hss@yahoo.in"
"Junior English Medium School, Ramamangalam","jems28721@gmail.com"
"DE PAUL EM HSS, ANGAMALY, ERNAKULAM, 683573 Phone No: 04842455334 Email ID: depaulemhss@gmail.com","depaulemhss@gmail.com"
"ISLAMIC HSS, ALUVA, 683101 Phone No: 0484-2625198 Email ID: islamichss@gmail.com","islamichss@gmail.com"
"St. Jude's E.M.H.S.S, Karanakodam","stjudeshss32@ymail.com"
"Pratheeksha Rotary Special School","pratheeksharotary@gmail.com"
"ST.PHILOMINA'S PUBLIC SCHOOL, ELANJI","stphilomenaps@yahoo.com"
"Sanjo E. M. High School Vengoor","ssanjoschool@yahoo.com"
"ANITA VIDYALAYA HSS, TANNIPUZHA, OKKAL, 683550 Phone No: 8078157176 Email ID: anitavidyalaya@yahoo.in","anitavidyalaya@yahoo.in"
"RAJAGIRI HSS KALAMASSERY, 683104 Phone No: 04842911401 Email ID: rajagirihss@gmail.com","rajagirihss@gmail.com"
"ST JUDES EMHS AMBALAMEDU","stjudesambal@gmail.com"
"Queen Mary`s E.M. High School Mudickal","queenmudickal@gmail.com"
"HAIL MARY EM HSS, PERUMPALLY Phone No: 04842740229 Email ID: hailmaryemhss@gmail.com","hailmaryemhss@gmail.com"
"St. George`s H.S Poonithura","stgeorgespoonithura@yahoo.com"
"ASIA BAI HSS, MATTANCHERY, 682002 Phone No: 0484-2229555 Email ID: aasiabai.2007@gmail.com","aasiabai.2007@gmail.com"
"Hidayathul Islam H.S. Kandanthara Allapra","hihschool@gmail.com"
"St. Francis Assisi U. P. S. Athani","stfrancisassisiups@gmail.com"
"NIRMALA EM HSS ALUVA, 683101 Phone No: 04842623334 Email ID: nirmalaschoolaluva@yahoo.com","nirmalaschoolaluva@yahoo.com"
"GUARDIAN ANGEL  HSS, MANJUMMEL, UDYOGAMANDAL, ALUVA., 683501 Phone No: 04842557140 Email ID: guardianangelshss@gmail.com","guardianangelshss@gmail.com"
"St. John the Baptist C. S. I. E. M. H. S. Aluva","st.johncsischool@rediffmail.com"
"HM TRUST HSS RANDARKARA, 686673 Phone No: 9746634091 Email ID: hmhss28005@gmail.com","hmhss28005@gmail.com"
"Infant Jesus EMHS Koothattukulam","28051infantjesus@gmail.com"
"Mar Athanasius Memorial E. M. H. S. Puthencruze","MAMHSSPUTHENCRUZ@gmail.com"
"St. Antony's C.E.M.L.P.S. Kacheripady","atantnys@gmail.com"
"A.C.S.E.M.H.S. Kaloor","acsemhss@yahoo.com"
"St. Joachim's H.S. Kaloor","stjoachims@yahoo.com"
"Nazreth O. L. P. S. Paduvapuram","nazaretholps@gmail.com"
"Our Lady of Fathima EMUPS Kumbalanghi","olfemupskumbalanghi773@gmail.com"
"PRATHIBA ENGLISH MEDIUM JUNIOR SCHOOL, VADATTUPARA","prathibaenglishschool@gmail.com"
"Nirmala Junior L P S Muvattupuzha","nirmala28415@gmail.com"
"Abdulla Haji Ahammed Sait Memorial KMEA Al-Manar HSS,Kuzhivelippady, EDATHALA, Ernakulam683561 Phone No: 0484-2411374 Email ID: kmeahss@yahoo.com","kmeahss@yahoo.com"
"FATIMA MATHA HSS, PIRAVOM, 686664 Phone No: 0485-2242203 Email ID: 28016pvm@gmail.com","28016pvm@gmail.com"
"Infant Jesus L. P. S. Kakkanad","infantjesuslpschool@gmail.com"
"Vijnanapeedom E. M. H. S. Edanad","vijnanam1976@gmail.com"
"Sharaffiya EM School Mudickal","semsmudikkal@gmail.com"
"I. C. T. English Medium School Peringala","ictemschools@gmail.com"
"Georgian Academy E.M.H.S Thiruvankulam","georgianacademy@gmail.com"
"Lady Of Hope A.I.H.S. Vypeen","ladyofhopevypin@gmail.com"
"LOBELIA H.S.S, NAYARAMBALAM","lobelia@bsnl.in"
"Navadeepthi E. M. School. Karumalloor","navadeepthikarumalloor@gmail.com"
"St. Vimcent De Paul E .M.U.P.S. Palarivattom","depaulstvincent@yahoo.com"
"K. M. C. U. P. S. Edayappuram","kmcupschool@gmail.com"
"St. James .E.M .L.P.S Poonithura","stjmspoonithura@gmail.com"
"National School Vengola","vengolanational@yahoo.com"
"St. Mary`s E M School Vettithara","stmarysschoolvettithara@gmail.com"
"St. George Public School Pookkattupady","stgeorge.school@yahoo.com"
"M.P.M.E.M.HSS,THAMMANAM,ERNAKULAM, 682032 Phone No: 04842334083 Email ID: mpmemhss@gmail.com","mpmemhss@gmail.com"
"Ranimatha Convent U. P. S. Thamarachal","ranimathaschool@gmail.com"
"St. Thomas LPS Keezhillam","stthomasnlp@gmail.com"
"CHRISTAVA MAHILALAYAM HSS, ALUVA, THOTTUMUGHAM, 683105 Phone No: 8289945320 Email ID: cm.hs.school@gmail.com","cm.hs.school@gmail.com"
"St. George E. M. L. P. S. Chully","stgeorgeacademychully@gmail.com"
"THE ALWAYE SETTLEMENT HSS, ALUVA,ERNAKULAM, 683102 Phone No: 0484-2964429 Email ID: alwaye_settlement@yahoo.co.in","alwaye_settlement@yahoo.co.in"
"Mar Athanasius L. P. S. Thuruthissery","essarangamaly@gmail.com"
"St. Dominic`s E.M. H.S. Palluruthy","stdominic.in@gmail.com"
"MARY MATHA EM HSS, THRIKKAKARA Phone No: 0484-2425288 Email ID: marymathahss@yahoo.co.in","marymathahss@yahoo.co.in"
"Little Flower E. M. L. P. S. Kanjoor","littleflowerkanjoor@gmail.com"
"Vivekananda Vidyalayam Muvattupuzha","28052vivekanandamvpa@gmail.com"
"Sree Venkateswara E.M.H.S. Tripunithura","sreevenkateswara1976@yahoo.in"
"Nazreth L. P. S. Aluva","nazerathschool@yahoo.in"
"SNLPS Okkal","snemokkal@gmail.com"
"M.I.E.T H.S Muvattupuzha","miethsmvpa@gmail.com"
"Islamic U. P. S. Mannam","islamicupsmannam@gmail.com"
"ST.JOSEPH'S CG HSS THRUPPUNITHURA Phone No: 04842778385 Email ID: stjosephstpn@gmail.com","stjosephstpn@gmail.com"
"St. Joseph`s .E.M.L.P.S. Thripoonithura","stjosephemlpstpra1@gmail.com"
"BAPUJI EM HSS, KOOTHATTUKULAM, 686662 Phone No: 04852252103 Email ID: bappuji28013@yahoo.com","bappuji28013@yahoo.com"
"St. Paul`s Junior School Kolenchery","stpjsk@gmail.com"
"Al-Azhar E.M.H.S. Mukkuttinada ponjassery","alazhar27051@yahoo.in"
"Vimalahridaya E. M. U. P. S. Edathala","vimalaalu@gmail.com"
"MKM LP School, Piravom","28017mkm@gmail.com"
"Hidayathul Islam U. P. S. Purayar","hidayathschool95@gmail.com"
"HILL VALLEY HSS, THRIKKAKARA Phone No: 0484-2577343 Email ID: lilyhillvalley@gmail.com","lilyhillvalley@gmail.com"
"Jama Ath L. P. S. Chelakkulam","jamaathlpschelakkulam@gmail.com"
"Mannam Vidyabhavan Valayanchirangara","mannamvidyabhavanemlps@gmail.com"
"Little Flower L. P. S. Panaikulam","sacretheart70@gmail.com"
"Meca UPS Perumbavoor","mecaupschool@gmail.com"
"Mar Gregorius E. M. School. North Paravoor","mgmpsparavur@gmail.com"
"St. George E.M.L.P. School, Edappally","stgeorgeemlpsepy@gmail.com"
"St. George`s EMUPS Kottappady","emupsktpdy@gmail.com"
"St Mary's English Medium School, Pallikkara","englishmediummorakkala@gmail.com"
"St.Francis English Medium L.P. School Kuttipuzha","stfrancislpskuttipuzha@yahoo.in"
"H. M. U. P. S. Kunjunnikkara","hmups.knjkra@gmail.com"
"Mar Kauma EMLPS Vengoor","markauma@gmail.com"
"Saraswathi Vidyamandir U.P.S. Mattanchery","svmschool924@gmail.com"
"Josalayam. E.M.L.P.S. Cheranelloor","josalayamschool@gmail.com"
"SVDVN English Medium School, Mattanchery","svdvidyanikethan@gmail.com"
"THE ADVENTURE SENIOR SECONDARY SCHOOL, PAMPAKUDA","theadventurepublicschoolpkda@ymail.com"
"T M A E M Public School Pezhakkappilly","varghese.tma@gmail.com"
"SREE NARAYANA PUBLIC SCHOOL, POOTHOTTA","snpublic123@yahoo.co.in"
"Springdales E M S Pampakuda","sobhavarghese10@ymail.com"
"Nazrathul Islam U. P. S. Marampally","nusrathulislamups@gmail.com"
"St.Michael's Public School, Thirumarayoor","info@stmichaelschool.in"
"Vimala EMLPS Perumbavoor","vimalalpschoolpbvr@gmail.com"
"Maria Teresa Scrilla E. M. School. N. Paravoor","scrilliparavur@yahoo.com"
"F. A. C. T. Township H. S. Eloor","facths@gmail.com"
"St. Francis De Assisi H. S. Asokapuram","dassisi1@yahoo.com"
"Alhuda E. M. H. S. Panaikulam","alhudhapanayikulam@gmail.com"
"St.Josephs Model H. S. Kuriachira","st.josephmodelschool@yahoo.co.in"
"M I T U P S ERIYAD","mitschooleriyad@yahoo.com"
"CARMEL HSS, CHALAKKUDI, THRISSUR, 680307 Phone No: 04802709494 Email ID: carmelhsschalakudy@yahoo.com","carmelhsschalakudy@yahoo.com"
"FOCUS ISLAMIC EM HSS, THOTTAPPU, THRISSUR, 680512 Phone No: 04872532221 Email ID: focusislamic@gmail.com","focusislamic@gmail.com"
"RMVHSS L.P Section, Perinjanam","admnrmvhss@yahoo.com"
"Sirajul Uloom English School Kallumpuram","sucskallumpuram@gmail.com"
"IDCE HSS, Orumanayur Phone No: 04872508895 Email ID: idcschool@yahoo.com","idcschool@yahoo.com"
"D. Q. R. H. S Kallumpuram","dqrhschool@yahoo.in"
"Mampa Ul Hudda U. P. S Kechery","mheschool@gmail.com"
"Nirmala E. M. U. P. S Erumapetty","nirmalaenmups@gmail.com"
"K. A. U. H. S. Vellanikkara","kauhsvka@gmail.com"
"N. S. S. K. U. P. S Kadavalloor","satheeshnssemup@gmail.com"
"ST. JOSEPH'S EM HSS ALOOR, KALLETTINKARA, THRISSUR, 680683 Phone No: 04802786025 Email ID: stjosephsemhssaloor@yahoo.com","stjosephsemhssaloor@yahoo.com"
"N. S. S. E. M. H. S. WEST FORT THRISSUR","nssemhsstsr@rediffmail.com"
"Holy Family CEM L.P. School, Chembukkavu","hfcemlps@gmail.com"
"Thaqwa Residential English High School Andathode","trehsandathode@gmail.com"
"M E M U P S AZHIKODE","marthoma.up@gmail.com"
"Model H. S Puthiyangadi","mhspty@gmail.com"
"HOLY ANGEL'S HSS, OLLUR, THRISSUR, 680306 Phone No: 04872352701 Email ID: holyangels88@yahoo.com","holyangels88@yahoo.com"
"HOLY CHILD CONVENT EMHSS, SNEHA GIRI, MALA, THRISSUR, 680735 Phone No: 8304080210 Email ID: hccemhssnehagiri@yahoo.com","hccemhssnehagiri@yahoo.com"
"Al - Ameen H. S Karikkad","alameenehskkd@gmail.com"
"Theqwa Residential Girls HSS, Andathode Phone No: 04872543879 Email ID: thaqwaghs@gmail.com","thaqwaghs@gmail.com"
"I. C. A. E. H. S. S Vadakkekad","principalica@gmail.com"
"I. J. C. E. M. L. P. S. ARANATTUKARA","ijcemlps1993aranattukara@rediffmail.com"
"SURAKSHITHA E. M. S. PUNKUNNAM","sreebindu@hotmail.com"
"VIDYAJYOTHI E M H S ARIPALAM","vidyajothiemhsaripalam@yahoo.com"
"C.B.H.A.E.M.S Wadakkanchery","cleliaangels@gmail.com"
"Holy Angel`s CLPS Aroormuzhy","www.holyangel.clpschool@gmail.com"
"MARY RANI E. M. S. AMALANAGAR","maryraniamala@gmail.com"
"D B E M L P S IRINJALKUDA","dblpsirinjalakuda@gmail.com"
"CONCORD ENGLISH HSS, CHIRAMANENGAD, THRISSUR, 680604 Phone No: 04885281871 Email ID: concordehss@gmail.com","concordehss@gmail.com"
"RAHMATH EM HSS, THOZHIYOOR, THRISSUR, 680520 Phone No: 04872680557 Email ID: rahmathschool@gmail.com","rahmathschool@gmail.com"
"ST. PAULS CONVENT EHSS KURIACHIRA, THRISSUR, 680006 Phone No: 04872253052 Email ID: stpaulscehss@gmail.com","stpaulscehss@gmail.com"
"Little Flower English Medium LP School, Mammiyoor","lfemlpsmammiyoor@gmail.com"
"Bethany ST.John's HSS, Trichur Road, Kunnamkulam.P.O, Thr, 680503 Phone No: 04885223529 Email ID: bethanykkm@gmail.com","bethanykkm@gmail.com"
"VIDYODAYA E M L P S IRINJALKUDA","vidyodayaemlps@gmail.com"
"SANGAMESWARA N S S E M H S IRINJALAKUDA","sangameswarairinjalakuda@yahoo.com"
"ST.JOSEPH'S EMHSS, ERAVU, ARIMPUR, THRISSUR, 680620 Phone No: 04872311450 Email ID: stjosephschooleravu@gmail.com","stjosephschooleravu@gmail.com"
"DE- PAUL EM HSS, CHOONDAL, THRISSUR, 680502 Phone No: 04885236145 Email ID: depaulchoondal@yahoo.com","depaulchoondal@yahoo.com"
"Clare Home L. P. S Mayannur","clarehome001@gmail.com"
"Tha - Aleemul E. M. U. P. S Padoor","tiespadoor@gmail.com"
"St. Sebastians Convent English Medium LP School, Nellikkunu","stsebastianscemlps@gmail.com"
"Mercy Convent LP School, Peechi, Thrissur","mercyclpspeechi@gmail.com"
"St. M. M. C. H. S Kanippayyur","mmchsknm@bsnl.in"
"St. Josephs E.M.L.P.School, Kodungaloor, Thrissur","st.josephskdlr@gmail.com"
"S M L P S T.K.S. PURAM","santamaria123469@yahoo.com"
"Holy Angels English Medium LP School, Attoor","haemlps@gmail.com"
"D. B. E. M. L. P. S. Mannuthy","dblpsmannuthy@gmail.com"
"S. H. C. E. M. L. P. S. Thrissur.","shcemlps@gmail.com"
"H C C L P S KALPARAMBA","holycrosslps@gmail.com"
"DON BOSCO HSS, IRINJALAKKUDA., THRISSUR, 680121 Phone No: 04802825414 Email ID: donboscoirinjalakuda@yahoo.com","donboscoirinjalakuda@yahoo.com"
"H. F. E. M. L. P. S. Mannuthy","holyfamilyschoolmannuthy@gmail.com"
"CHENTRAPPINI HSS, CHENTRAPPINNI, THRISSUR, 680687 Phone No: 04802873006 Email ID: chsscpni@gmail.com","chsscpni@gmail.com"
